_id,patcnty1,dsch_yr,mdc,mdc_desc,Discharges,AnnotationCode,AnnotationDesc
2404,El Dorado,2017,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,6,,
2405,El Dorado,2018,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",1111,,
2406,El Dorado,2018,2,"EYE, DISEASES & DISORDERS",15,,
2407,El Dorado,2018,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",170,,
2408,El Dorado,2018,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",1575,,
2409,El Dorado,2018,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",2059,,
2410,El Dorado,2018,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",1528,,
2411,El Dorado,2018,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",514,,
2412,El Dorado,2018,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",2342,,
2413,El Dorado,2018,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",349,,
2414,El Dorado,2018,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",470,,
2415,El Dorado,2018,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",721,,
2416,El Dorado,2018,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",47,,
2417,El Dorado,2018,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",102,,
2418,El Dorado,2018,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",1675,,
2419,El Dorado,2018,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,1641,,
2420,El Dorado,2018,16,"BLOOD, BLOOD FORMING ORGANS,IMMUNOLOGICAL, DISEASES & DISORDERS",133,,
2421,El Dorado,2018,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,161,,
2422,El Dorado,2018,18,INFECTIOUS & PARASITIC DISEASES,1454,,
2423,El Dorado,2018,19,MENTAL DISEASES & DISORDERS,729,,
2424,El Dorado,2018,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,162,,
2425,El Dorado,2018,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",255,,
2426,El Dorado,2018,22,BURNS,13,,
2427,El Dorado,2018,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,125,,
2428,El Dorado,2018,24,MULTIPLE SIGNFICANT TRAUMA,73,,
2429,El Dorado,2018,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,3,,
2430,El Dorado,2019,0,PRE-MDC,69,,
2431,El Dorado,2019,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",1076,,
2432,El Dorado,2019,2,"EYE, DISEASES & DISORDERS",14,,
2433,El Dorado,2019,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",121,,
2434,El Dorado,2019,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",1459,,
2435,El Dorado,2019,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",1975,,
2436,El Dorado,2019,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",1649,,
2437,El Dorado,2019,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",472,,
2438,El Dorado,2019,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",2265,,
2439,El Dorado,2019,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",349,,
2440,El Dorado,2019,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",425,,
2441,El Dorado,2019,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",805,,
2442,El Dorado,2019,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",51,,
2443,El Dorado,2019,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",95,,
2444,El Dorado,2019,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",1536,,
2445,El Dorado,2019,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,1555,,
2446,El Dorado,2019,16,"BLOOD, BLOOD FORMING ORGANS,IMMUNOLOGICAL, DISEASES & DISORDERS",124,,
2447,El Dorado,2019,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,160,,
2448,El Dorado,2019,18,INFECTIOUS & PARASITIC DISEASES,1436,,
2449,El Dorado,2019,19,MENTAL DISEASES & DISORDERS,736,,
2450,El Dorado,2019,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,219,,
2451,El Dorado,2019,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",233,,
2452,El Dorado,2019,22,BURNS,8,,
2453,El Dorado,2019,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,120,,
2454,El Dorado,2019,24,MULTIPLE SIGNFICANT TRAUMA,59,,
2455,El Dorado,2019,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,2,,
2456,El Dorado,2020,0,PRE-MDC,72,,
2457,El Dorado,2020,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",995,,
2458,El Dorado,2020,2,"EYE, DISEASES & DISORDERS",10,,
2459,El Dorado,2020,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",96,,
2460,El Dorado,2020,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",1349,,
2461,El Dorado,2020,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",1816,,
2462,El Dorado,2020,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",1446,,
2463,El Dorado,2020,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",540,,
2464,El Dorado,2020,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",1746,,
2465,El Dorado,2020,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",256,,
2466,El Dorado,2020,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",425,,
2467,El Dorado,2020,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",675,,
2468,El Dorado,2020,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",33,,
2469,El Dorado,2020,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",84,,
2470,El Dorado,2020,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",1459,,
2471,El Dorado,2020,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,1474,,
2472,El Dorado,2020,16,"BLOOD, BLOOD FORMING ORGANS,IMMUNOLOGICAL, DISEASES & DISORDERS",114,,
2473,El Dorado,2020,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,174,,
2474,El Dorado,2020,18,INFECTIOUS & PARASITIC DISEASES,1375,,
2475,El Dorado,2020,19,MENTAL DISEASES & DISORDERS,654,,
2476,El Dorado,2020,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,225,,
2477,El Dorado,2020,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",230,,
2478,El Dorado,2020,22,BURNS,14,,
2479,El Dorado,2020,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,119,,
2480,El Dorado,2020,24,MULTIPLE SIGNFICANT TRAUMA,66,,
2481,El Dorado,2020,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,1,,
2482,El Dorado,2021,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",1081,,
2483,El Dorado,2021,2,"EYE, DISEASES & DISORDERS",12,,
2484,El Dorado,2021,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",103,,
2485,El Dorado,2021,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",1715,,
2486,El Dorado,2021,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",2009,,
2487,El Dorado,2021,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",1369,,
2488,El Dorado,2021,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",508,,
2489,El Dorado,2021,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",1488,,
2490,El Dorado,2021,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",319,,
2491,El Dorado,2021,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",438,,
2492,El Dorado,2021,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",631,,
2493,El Dorado,2021,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",34,,
2494,El Dorado,2021,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",103,,
2495,El Dorado,2021,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",1617,,
2496,El Dorado,2021,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,1580,,
2497,El Dorado,2021,16,"BLOOD, BLOOD FORMING ORGANS,IMMUNOLOGICAL, DISEASES & DISORDERS",108,,
2498,El Dorado,2021,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,194,,
2499,El Dorado,2021,18,INFECTIOUS & PARASITIC DISEASES,1395,,
2500,El Dorado,2021,19,MENTAL DISEASES & DISORDERS,590,,
2501,El Dorado,2021,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,265,,
2502,El Dorado,2021,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",205,,
2503,El Dorado,2021,22,BURNS,12,,
2504,El Dorado,2021,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,94,,
2505,El Dorado,2021,24,MULTIPLE SIGNFICANT TRAUMA,58,,
2506,El Dorado,2021,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,5,,
2507,El Dorado,2022,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",1079,,
2508,El Dorado,2022,2,"EYE, DISEASES & DISORDERS",17,,
2509,El Dorado,2022,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",91,,
2510,El Dorado,2022,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",1771,,
2511,El Dorado,2022,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",2019,,
2512,El Dorado,2022,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",1306,,
2513,El Dorado,2022,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",567,,
2514,El Dorado,2022,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",1456,,
2515,El Dorado,2022,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",285,,
2516,El Dorado,2022,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",441,,
2517,El Dorado,2022,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",639,,
2518,El Dorado,2022,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",32,,
2519,El Dorado,2022,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",68,,
2520,El Dorado,2022,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",1522,,
2521,El Dorado,2022,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,1559,,
2522,El Dorado,2022,16,"BLOOD, BLOOD FORMING ORGANS,IMMUNOLOGICAL, DISEASES & DISORDERS",117,,
2523,El Dorado,2022,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,120,,
2524,El Dorado,2022,18,INFECTIOUS & PARASITIC DISEASES,1397,,
2525,El Dorado,2022,19,MENTAL DISEASES & DISORDERS,568,,
2526,El Dorado,2022,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,239,,
2527,El Dorado,2022,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",193,,
2528,El Dorado,2022,22,BURNS,17,,
2529,El Dorado,2022,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,106,,
2530,El Dorado,2022,24,MULTIPLE SIGNFICANT TRAUMA,66,,
2531,El Dorado,2022,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,1,,
2532,El Dorado,2023,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",1138,,
2533,El Dorado,2023,2,"EYE, DISEASES & DISORDERS",21,,
2534,El Dorado,2023,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",118,,
2535,El Dorado,2023,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",1489,,
2536,El Dorado,2023,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",2121,,
2537,El Dorado,2023,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",1407,,
2538,El Dorado,2023,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",547,,
2539,El Dorado,2023,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",1464,,
2540,El Dorado,2023,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",312,,
2541,El Dorado,2023,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",474,,
2542,El Dorado,2023,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",665,,
2543,El Dorado,2023,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",46,,
2544,El Dorado,2023,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",84,,
2545,El Dorado,2023,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",1417,,
2546,El Dorado,2023,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,1366,,
2547,El Dorado,2023,16,"BLOOD, BLOOD FORMING ORGANS,IMMUNOLOGICAL, DISEASES & DISORDERS",124,,
2548,El Dorado,2023,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,154,,
2549,El Dorado,2023,18,INFECTIOUS & PARASITIC DISEASES,1456,,
2550,El Dorado,2023,19,MENTAL DISEASES & DISORDERS,626,,
2551,El Dorado,2023,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,231,,
2552,El Dorado,2023,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",204,,
2553,El Dorado,2023,22,BURNS,13,,
2554,El Dorado,2023,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,110,,
2555,El Dorado,2023,24,MULTIPLE SIGNFICANT TRAUMA,71,,
2556,Fresno,2012,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",5402,,
2557,Fresno,2012,2,"EYE, DISEASES & DISORDERS",115,,
2558,Fresno,2012,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1164,,
2559,Fresno,2012,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",8103,,
2560,Fresno,2012,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",11055,,
2561,Fresno,2012,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",8083,,
2562,Fresno,2012,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3372,,
2563,Fresno,2012,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",6815,,
2564,Fresno,2012,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",2351,,
2565,Fresno,2012,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3401,,
2566,Fresno,2012,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4051,,
2567,Fresno,2012,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",433,,
2568,Fresno,2012,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1797,,
2569,Fresno,2012,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",17672,,
2570,Fresno,2012,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,16837,,
2571,Fresno,2012,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",851,,
2572,Fresno,2012,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,758,,
2573,Fresno,2012,18,INFECTIOUS & PARASITIC DISEASES,3868,,
2574,Fresno,2012,19,MENTAL DISEASES & DISORDERS,4861,,
2575,Fresno,2012,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,476,,
2576,Fresno,2012,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1309,,
2577,Fresno,2012,22,BURNS,86,,
2578,Fresno,2012,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,2490,,
2579,Fresno,2012,24,MULTIPLE SIGNFICANT TRAUMA,254,,
2580,Fresno,2012,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,123,,
2581,Fresno,2013,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",5145,,
2582,Fresno,2013,2,"EYE, DISEASES & DISORDERS",130,,
2583,Fresno,2013,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1069,,
2584,Fresno,2013,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",7755,,
2585,Fresno,2013,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",10677,,
2586,Fresno,2013,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",7984,,
2587,Fresno,2013,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3441,,
2588,Fresno,2013,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",7056,,
2589,Fresno,2013,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",2523,,
2590,Fresno,2013,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3680,,
2591,Fresno,2013,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",3992,,
2592,Fresno,2013,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",371,,
2593,Fresno,2013,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1730,,
2594,Fresno,2013,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",17207,,
2595,Fresno,2013,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,16561,,
2596,Fresno,2013,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",781,,
2597,Fresno,2013,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,649,,
2598,Fresno,2013,18,INFECTIOUS & PARASITIC DISEASES,4298,,
2599,Fresno,2013,19,MENTAL DISEASES & DISORDERS,4972,,
2600,Fresno,2013,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,508,,
2601,Fresno,2013,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1309,,
2602,Fresno,2013,22,BURNS,86,,
2603,Fresno,2013,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,2617,,
2604,Fresno,2013,24,MULTIPLE SIGNFICANT TRAUMA,240,,
2605,Fresno,2013,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,147,,
2606,Fresno,2014,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",5150,,
2607,Fresno,2014,2,"EYE, DISEASES & DISORDERS",99,,
2608,Fresno,2014,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1018,,
2609,Fresno,2014,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",7493,,
2610,Fresno,2014,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",9747,,
2611,Fresno,2014,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",7361,,
2612,Fresno,2014,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3361,,
2613,Fresno,2014,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",7183,,
2614,Fresno,2014,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",2277,,
2615,Fresno,2014,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3560,,
2616,Fresno,2014,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4119,,
2617,Fresno,2014,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",347,,
2618,Fresno,2014,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1636,,
2619,Fresno,2014,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",17412,,
2620,Fresno,2014,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,16632,,
2621,Fresno,2014,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",725,,
2622,Fresno,2014,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,720,,
2623,Fresno,2014,18,INFECTIOUS & PARASITIC DISEASES,4708,,
2624,Fresno,2014,19,MENTAL DISEASES & DISORDERS,5096,,
2625,Fresno,2014,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,634,,
2626,Fresno,2014,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1242,,
2627,Fresno,2014,22,BURNS,96,,
2628,Fresno,2014,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,2686,,
2629,Fresno,2014,24,MULTIPLE SIGNFICANT TRAUMA,267,,
2630,Fresno,2014,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,127,,
2631,Fresno,2015,0,UNGROUPABLE,17,,
2632,Fresno,2015,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",5590,,
2633,Fresno,2015,2,"EYE, DISEASES & DISORDERS",109,,
2634,Fresno,2015,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1099,,
2635,Fresno,2015,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",7675,,
2636,Fresno,2015,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",9582,,
2637,Fresno,2015,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",7345,,
2638,Fresno,2015,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3373,,
2639,Fresno,2015,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",7740,,
2640,Fresno,2015,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",2284,,
2641,Fresno,2015,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3474,,
2642,Fresno,2015,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4019,,
2643,Fresno,2015,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",380,,
2644,Fresno,2015,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1590,,
2645,Fresno,2015,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",17072,,
2646,Fresno,2015,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,16166,,
2647,Fresno,2015,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",748,,
2648,Fresno,2015,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,672,,
2649,Fresno,2015,18,INFECTIOUS & PARASITIC DISEASES,5835,,
2650,Fresno,2015,19,MENTAL DISEASES & DISORDERS,5061,,
2651,Fresno,2015,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,686,,
2652,Fresno,2015,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1276,,
2653,Fresno,2015,22,BURNS,117,,
2654,Fresno,2015,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,2392,,
2655,Fresno,2015,24,MULTIPLE SIGNFICANT TRAUMA,282,,
2656,Fresno,2015,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,149,,
2657,Fresno,2016,0,UNGROUPABLE,16,,
2658,Fresno,2016,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",6186,,
2659,Fresno,2016,2,"EYE, DISEASES & DISORDERS",108,,
2660,Fresno,2016,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1044,,
2661,Fresno,2016,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",7774,,
2662,Fresno,2016,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",9710,,
2663,Fresno,2016,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",7488,,
2664,Fresno,2016,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3352,,
2665,Fresno,2016,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",8130,,
2666,Fresno,2016,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",2385,,
2667,Fresno,2016,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3764,,
2668,Fresno,2016,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4172,,
2669,Fresno,2016,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",372,,
2670,Fresno,2016,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1561,,
2671,Fresno,2016,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",16848,,
2672,Fresno,2016,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,15858,,
2673,Fresno,2016,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",772,,
2674,Fresno,2016,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,780,,
2675,Fresno,2016,18,INFECTIOUS & PARASITIC DISEASES,6167,,
2676,Fresno,2016,19,MENTAL DISEASES & DISORDERS,5292,,
2677,Fresno,2016,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,682,,
2678,Fresno,2016,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1311,,
2679,Fresno,2016,22,BURNS,97,,
